体重（千克）,身高（厘米）,BMI,水平,性别
49,144,23.63040123,偏高,女生
42,148,19.17457999,正常,女生
32,143,15.64868698,正常,女生
40,153,17.087445,正常,女生
26.5,129,15.92452377,正常,女生
41,142,20.33326721,偏高,女生
46,145,21.87871581,偏高,女生
36,143,17.60477285,正常,女生
34,145,16.17122473,正常,女生
29,140,14.79591837,正常,女生
26,140,13.26530612,偏低,女生
51,150,22.66666667,偏高,女生
28,146,13.13567273,偏低,女生
35,143,17.11575138,正常,女生
47,148,21.45726808,偏高,女生
29,140,14.79591837,正常,女生
23,128,14.03808594,正常,女生
29,140,14.79591837,正常,女生
36,148,16.43535427,正常,女生
36,143,17.60477285,正常,女生
41,144,19.77237654,偏高,女生
45,142,22.3170006,偏高,女生
43,145,20.45184304,偏高,女生
25,133,14.13307705,正常,女生
25,138,13.12749422,偏低,女生
30,142,14.8780004,正常,女生
28,138,14.70279353,正常,女生
27,135,14.81481481,正常,女生
30,139,15.52714663,正常,女生
58,153,24.77679525,偏高,女生
31,143,15.15966551,正常,女生
44,150,19.55555556,偏高,女生
41,156,16.84746877,正常,女生
32,151,14.03447217,正常,女生
51,145,24.2568371,偏高,女生
58,150,25.77777778,偏高,女生
28,132,16.0697888,正常,女生
30,144,14.46759259,正常,女生
29,138,15.2278933,正常,女生
27,139,13.97443197,正常,女生
39,144,18.80787037,正常,女生
32,147,14.80864455,正常,女生
37,147,17.12249526,正常,女生
25,133,14.13307705,正常,女生
28,145,13.31747919,偏低,女生
37,146,17.35785326,正常,女生
30,142,14.8780004,正常,女生
30,137,15.98380308,正常,女生
41,151,17.98166747,正常,女生
37,151,16.22735845,正常,女生
38,150,16.88888889,正常,女生
43,148,19.6311176,偏高,女生
35,150,15.55555556,正常,女生
50,157,20.28479857,偏高,女生
27,138,14.17769376,正常,女生
40,150,17.77777778,正常,女生
27,137,14.38542277,正常,女生
40,147,18.51080568,正常,女生
31,142,15.37393374,正常,女生
54,149,24.32322868,偏高,女生
36,146,16.88872209,正常,女生
36,143,17.60477285,正常,女生
30,143,14.67064404,正常,女生
45,157,18.25631871,正常,女生
45,144,21.70138889,偏高,女生
43,149,19.36849691,正常,女生
37,142,18.34953382,正常,女生
28,138,14.70279353,正常,女生
36,147,16.65972511,正常,女生
39,145,18.54934602,正常,男生
51,138,26.78008822,偏高,男生
38,143,18.58281579,正常,男生
37,140,18.87755102,正常,男生
37,153,15.80588662,正常,男生
44,149,19.81892708,正常,男生
47,150,20.88888889,偏高,男生
27,138,14.17769376,正常,男生
35,144,16.87885802,正常,男生
33,139,17.07986129,正常,男生
54,153,23.06805075,偏高,男生
30,132,17.21763085,正常,男生
57,155,23.72528616,偏高,男生
59,154,24.87771968,偏高,男生
30,132,17.21763085,正常,男生
25,131,14.56791562,正常,男生
27,140,13.7755102,偏低,男生
35,148,15.97881665,正常,男生
32,137,17.04938995,正常,男生
36,152,15.58171745,正常,男生
37,149,16.66591595,正常,男生
50,152,21.64127424,偏高,男生
35,138,18.37849191,正常,男生
38,149,17.11634611,正常,男生
30,132,17.21763085,正常,男生
57,155,23.72528616,偏高,男生
59,154,24.87771968,偏高,男生
30,132,17.21763085,正常,男生
25,131,14.56791562,正常,男生
27,140,13.7755102,偏低,男生
35,148,15.97881665,正常,男生
32,137,17.04938995,正常,男生
36,152,15.58171745,正常,男生
37,149,16.66591595,正常,男生
50,152,21.64127424,偏高,男生
35,138,18.37849191,正常,男生
38,149,17.11634611,正常,男生
44,143,21.51694459,偏高,男生
57,153,24.34960912,偏高,男生
26,133,14.69840014,正常,男生
38,137,20.24615057,偏高,男生
40,141,20.11971229,偏高,男生
32,138,16.80319261,正常,男生
51,152,22.07409972,偏高,男生
35,141,17.60474825,正常,男生
38,143,18.58281579,正常,男生
43,139,22.25557683,偏高,男生
45,137,23.97570462,偏高,男生
26,133,14.69840014,正常,男生
31,141,15.59277702,正常,男生
38,149,17.11634611,正常,男生
44,144,21.2191358,偏高,男生
31,136,16.76038062,正常,男生
24,132,13.77410468,偏低,男生
41,143,20.04988019,正常,男生
27,138,14.17769376,正常,男生
38,149,17.11634611,正常,男生
30,143,14.67064404,正常,男生
30,134,16.70750724,正常,男生
35,133,19.78630787,正常,男生
27,137,14.38542277,正常,男生
28,137,14.91821621,正常,男生
53,146,24.86395196,偏高,男生
29,133,16.39436938,正常,男生
47,140,23.97959184,偏高,男生
38,148,17.34842951,正常,男生
38,133,21.48227712,偏高,男生
28,142,13.8861337,偏低,男生
32,141,16.09576983,正常,男生
37,142,18.34953382,正常,男生
31,139,16.04471818,正常,男生
33,141,16.59876264,正常,男生
28,139,14.49200352,正常,男生
37,145,17.5980975,正常,男生
63,149,28.37710013,偏高,男生
31,140,15.81632653,正常,男生
42,140,21.42857143,偏高,男生
46,143,22.49498753,偏高,男生
30,137,15.98380308,正常,男生
41,146,19.23437793,正常,男生
33,142,16.36580044,正常,男生
47,136,25.41089965,偏高,男生
29,141,14.58679141,正常,男生
43,149,19.36849691,正常,男生
50,146,23.45655845,偏高,男生
33,136,17.8416955,正常,男生
35,141,17.60474825,正常,男生
29,133.5,16.27179509,正常,男生
38,151,16.6659357,正常,男生
33,134,18.37825796,正常,男生
51,147.5,23.44153979,偏高,男生
35,143,17.11575138,正常,男生
41,140,20.91836735,偏高,男生
37,140,18.87755102,正常,男生
34,133,19.22098479,正常,男生
40,140,20.40816327,偏高,男生
30,139,15.52714663,正常,男生
28.9,136,15.625,正常,男生
22,131,12.81976575,偏低,男生
51,144,24.59490741,偏高,男生
25,128.5,15.14027464,正常,男生
26,133,14.69840014,正常,男生
40,138,21.00399076,偏高,男生
34,140,17.34693878,正常,男生
32,130,18.93491124,正常,男生
36,144,17.36111111,正常,男生
34,135,18.65569273,正常,男生
35,146,16.41959092,正常,男生
26,129.5,15.50364485,正常,男生
30,131.5,17.34881233,正常,男生
28,135,15.36351166,正常,男生
26.1,141.5,13.03549801,偏低,男生
31,141,15.59277702,正常,男生
31,142,15.37393374,正常,男生
27,131,15.73334887,正常,男生
25,132,14.34802571,正常,男生
29,138,15.2278933,正常,男生
44,135,24.14266118,偏高,男生
36,137.5,19.04132231,正常,男生
33,130,19.52662722,正常,男生
31,134.5,17.1363027,正常,男生
36,134,20.04900869,正常,男生
34,147,15.73418483,正常,男生
34,138.5,17.72471947,正常,男生
50,142.5,24.62296091,偏高,男生
31,141,15.59277702,正常,男生
29,135,15.9122085,正常,男生
22,126,13.85739481,偏低,男生
48,145,22.82996433,偏高,男生
26,134,14.47983961,正常,男生
51,143.5,24.76659908,偏高,男生
57,149,25.67451917,偏高,男生
28,139.5,14.38830436,正常,男生
30,138.5,15.63945835,正常,男生
25.8,134,14.36845623,正常,男生
33,142,16.36580044,正常,男生
60,145,28.53745541,偏高,男生
31,134.5,17.1363027,正常,男生
36,145.5,17.00499522,正常,男生
33,135,18.10699588,正常,男生
28,136,15.1384083,正常,男生
34,142,16.86173378,正常,男生
26.9,134.5,14.86988848,正常,男生
26,132.5,14.80954076,正常,男生
35,140,17.85714286,正常,男生
32,141,16.09576983,正常,男生
29,139,15.00957507,正常,男生
36,140,18.36734694,正常,男生
38,137.5,20.09917355,正常,男生
23,128,14.03808594,偏低,男生
23,127,14.26002852,正常,男生
28,133,15.8290463,正常,男生
40,143.5,19.4247836,正常,男生
28,139,14.49200352,正常,男生
52,139.5,26.72113668,偏高,男生
39,134.5,21.55857437,偏高,男生
28,134,15.59367342,正常,男生
39,143.5,18.93916401,正常,男生
44,136,23.78892734,偏高,男生
32,144,15.43209877,正常,男生
38,147,17.5852654,正常,男生
35,138.5,18.24603475,正常,男生
31,142,15.37393374,正常,男生
45,145,21.40309156,偏高,男生
40,143,19.56085872,正常,男生
28,138,14.70279353,正常,男生
39,141,19.61671948,正常,男生
31,139,16.04471818,正常,男生
50,150,22.22222222,偏高,男生
33,139,17.07986129,正常,男生
40,143,19.56085872,正常,男生
29,136,15.67906574,正常,男生
29,133,16.39436938,正常,男生
32,147,14.80864455,正常,男生
48,145,22.82996433,偏高,男生
56,148,25.56610665,偏高,男生
73,158,29.24210864,偏高,男生
61,152,26.40235457,偏高,男生
39,143,19.07183725,正常,男生
36,141,18.10774106,正常,男生
31,142,15.37393374,正常,男生
26,128,15.86914063,正常,男生
31,140,15.81632653,正常,男生
46,144,22.18364198,偏高,男生
28,134,15.59367342,正常,男生
52,151,22.80601728,偏高,男生
33,131,19.22964862,正常,男生
28,132,16.0697888,正常,男生
27,129,16.22498648,正常,男生
24,126,15.11715797,正常,男生
28,136,15.1384083,正常,男生
42,148,19.17457999,正常,男生
43,143,21.02792313,偏高,男生
24,139,12.4217173,偏低,男生
46,145,21.87871581,偏高,男生
28,139,14.49200352,正常,男生
38,143,18.58281579,正常,男生
46,142,22.81293394,偏高,男生
43,140,21.93877551,偏高,男生
39,136,21.08564014,偏高,男生
66,149,29.72839061,偏高,男生
34,145,16.17122473,正常,男生
32,136,17.30103806,正常,男生
34,150,15.11111111,正常,男生
62,149,27.92666997,偏高,男生
40,141,20.11971229,偏高,男生
48,153,20.504934,偏高,男生
57,143,27.87422368,偏高,男生
30,141,15.08978422,正常,男生
57,147,26.3778981,偏高,男生
55,152,23.80540166,偏高,男生
41,139,21.22043372,偏高,男生
43,154,18.13121943,正常,男生
42,144,20.25462963,偏高,男生
40,132,22.95684114,偏高,男生
31,137,16.51659652,正常,男生
27,136,14.59775087,正常,男生
51,146,23.92568962,偏高,男生
49,142,24.30073398,偏高,男生
33,143,16.13770845,正常,男生
33,142,16.36580044,正常,男生
32,136,17.30103806,正常,男生
30,131,17.48149875,正常,男生
32,143,15.64868698,正常,男生
44,142,21.82106725,偏高,男生
27,131,15.73334887,正常,男生
34,143,16.62672991,正常,男生
30,133,16.95969246,正常,男生
52,156,21.36752137,偏高,男生
29,141,14.58679141,正常,男生
34,144,16.39660494,正常,男生
32,137,17.04938995,正常,男生
45,148,20.54419284,偏高,男生
30,141,15.08978422,正常,男生
34,148,15.52227904,正常,男生
30,140,15.30612245,正常,男生
32,143,15.64868698,正常,男生
32,146,15.01219741,正常,男生
32,134,17.82134106,正常,男生
